This file was generated by QKinz.


Protons:
Number_of_entries: 27
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     788.787897     2.552522     14775.259894     65.035491     15564.047791
134.243000     794.253048     2.595907     14637.066252     65.140657     15431.319299
206.244000     797.220347     2.619655     14562.909350     65.197903     15360.129698
303.130000     801.253726     2.652154     14463.080769     65.275881     15264.334495
511.766000     810.100990     2.724327     14247.942220     65.447599     15058.043209
581.990000     813.129755     2.749315     14175.477293     65.506599     14988.607049
589.136000     813.439426     2.751878     14168.101753     65.512637     14981.541179
618.362000     814.708767     2.762399     14137.934058     65.537401     14952.642824
625.513000     815.020044     2.764984     14130.551930     65.543477     14945.571973
647.230000     815.967049     2.772854     14108.131284     65.561968     14924.098333
685.775000     817.654129     2.786911     14068.330965     65.594938     14885.985094
718.730000     819.102931     2.799018     14034.296131     65.623278     14853.399062
767.800000     821.271202     2.817200     13983.606947     65.665739     14804.878149
772.900000     821.497317     2.819100     13978.337879     65.670170     14799.835196
816.564000     823.439109     2.835453     13933.220334     65.708250     14756.659443
826.790000     823.895403     2.839304     13922.652343     65.717205     14746.547746
844.860000     824.703132     2.846130     13903.976554     65.733063     14728.679686
864.640000     825.589395     2.853631     13883.531283     65.750472     14709.120677
879.459000     826.254816     2.859271     13868.212385     65.763549     14694.467201
933.620000     828.697385     2.880035     13812.213475     65.811599     14640.910859
960.180000     829.901297     2.890304     13784.745906     65.835309     14614.647203
969.300000     830.315620     2.893844     13775.313312     65.843472     14605.628932
1000.930000     831.756283     2.906172     13742.595361     65.871875     14574.351644
1003.140000     831.857158     2.907037     13740.309123     65.873865     14572.166281
1190.470000     840.511788     2.981813     13546.409863     66.045044     14386.921651
1220.910000     841.937815     2.994249     13514.882112     66.073339     14356.819927
1230.110000     842.369909     2.998024     13505.352223     66.081917     14347.722133
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.003117. a0 = 15.635925MeV. a1 = -0.994214. a2 = -0.000689(MeV)^-1



Deutrons:
Number_of_entries: 50
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1914.325225     11.823414     8331.542500     84.919869     10245.867725
59.010000     1923.785099     11.981704     8263.946076     85.158403     10187.731175
99.361000     1930.321146     12.091944     8217.653797     85.323947     10147.974943
146.274000     1937.990115     12.222208     8163.760731     85.518957     10101.750846
149.000000     1938.438079     12.229847     8160.626711     85.530374     10099.064790
173.929000     1942.546688     12.300075     8131.953943     85.635220     10074.500631
210.699000     1948.646712     12.404869     8089.620586     85.791330     10038.267298
268.798000     1958.383423     12.573454     8022.629225     86.041619     9981.012648
273.627000     1959.198191     12.587634     8017.055435     86.062625     9976.253626
314.009000     1966.044963     12.707250     7970.410622     86.239530     9936.455585
316.463000     1966.462971     12.714579     7967.574030     86.250352     9934.037001
317.845000     1966.698476     12.718710     7965.976467     86.256451     9932.674943
322.379000     1967.471603     12.732276     7960.734744     86.276477     9928.206347
330.000000     1968.772836     12.755133     7951.922384     86.310202     9920.695220
351.202000     1972.404301     12.819075     7927.394175     86.404453     9899.798476
378.392000     1977.086039     12.901848     7895.913002     86.526249     9872.999041
417.792000     1983.919863     13.023355     7850.243315     86.704612     9834.163178
420.559000     1984.402021     13.031958     7847.033694     86.717222     9831.435715
425.823000     1985.320101     13.048352     7840.926801     86.741243     9826.246902
462.969000     1991.829079     13.165001     7797.801276     86.911906     9789.630354
469.779000     1993.028195     13.186572     7789.889012     86.943415     9782.917207
470.514000     1993.157723     13.188904     7789.034933     86.946820     9782.192657
471.000000     1993.243382     13.190446     7788.470183     86.949072     9781.713565
497.293000     1997.891437     13.274317     7757.902404     87.071428     9755.793841
500.722000     1998.499623     13.285319     7753.913826     87.087461     9752.413449
534.370000     2004.492408     13.394083     7714.749117     87.245749     9719.241524
549.330000     2007.171368     13.442910     7697.321293     87.316683     9704.492661
559.976000     2009.083295     13.477835     7684.913418     87.367374     9693.996713
562.000000     2009.447307     13.484491     7682.553915     87.377032     9692.001222
577.723000     2012.280715     13.536387     7664.218767     87.452271     9676.499482
588.709000     2014.266459     13.572843     7651.401406     87.505075     9665.667864
601.580000     2016.599211     13.615759     7636.378298     87.567182     9652.977509
