This file was generated by QKinz.


Protons:
Number_of_entries: 33
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1203.338258     0.108480     8138.019644     1.101219     9341.357902
109.894000     1213.673768     0.110974     8034.062545     1.105962     9247.736313
197.143000     1222.029314     0.113018     7951.404024     1.109819     9173.433338
1345.670000     1346.308729     0.146584     6851.303125     1.169771     8197.611854
1458.700000     1360.205392     0.150724     6741.610910     1.176792     8101.816302
1554.038000     1372.197371     0.154361     6648.852084     1.182905     8021.049456
2779.849000     1553.113682     0.217142     5432.373557     1.281721     6985.487239
3908.170000     1783.516690     0.321956     4253.793630     1.428675     6037.310321
3998.700000     1805.950124     0.333892     4155.502505     1.444478     5961.452628
4032.500000     1814.515781     0.338538     4118.623322     1.450589     5933.139103
4377.700000     1908.568445     0.392950     3735.668766     1.520673     5644.237212
4549.900000     1960.582309     0.425881     3539.719487     1.561940     5500.301796
4556.100000     1962.526835     0.427153     3532.594865     1.563519     5495.121699
4648.000000     1991.977366     0.446807     3426.380246     1.587782     5418.357612
4682.500000     2003.347979     0.454589     3386.200630     1.597323     5389.548609
5106.600000     2159.626251     0.573448     2876.173719     1.739188     5035.799970
5337.000000     2260.502415     0.663479     2583.419222     1.842904     4843.921637
5418.000000     2299.404218     0.701401     2477.109883     1.885857     4776.514101
5463.500000     2322.157334     0.724476     2416.503248     1.911812     4738.660581
5500.700000     2341.275640     0.744398     2366.442522     1.934117     4707.718162
5535.000000     2359.336237     0.763678     2319.856405     1.955619     4679.192642
5621.000000     2406.581042     0.816329     2201.109665     2.013942     4607.690706
5938.000000     2611.213101     1.087742     1733.156441     2.307624     4344.369543
6070.000000     2715.829289     1.260513     1518.998781     2.490358     4234.828070
6088.000000     2731.294118     1.288466     1488.601133     2.519704     4219.895251
6160.600000     2797.162529     1.415508     1362.514753     2.652449     4159.677283
6282.000000     2922.656662     1.699982     1136.364175     2.946780     4059.020837
6330.000000     2979.138063     1.850554     1040.097404     3.101364     4019.235467
6496.700000     3224.397428     2.762718     656.720509     4.028004     3881.117937
6500.000000     3230.397123     2.792717     647.987442     4.058299     3878.384565
6527.500000     3283.082121     3.080204     572.525516     4.348262     3855.607637
6554.000000     3339.342874     3.446085     494.318039     4.716550     3833.660913
6592.000000     3433.721292     4.269319     368.472115     5.543273     3802.193408
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.079985. a0 = 11.230384MeV. a1 = -1.232236. a2 = 0.003221(MeV)^-1



