This file was generated by QKinz.


Protons:
Number_of_entries: 31
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1215.166773     0.109307     8061.399872     1.091283     9276.566646
109.894000     1225.657549     0.111831     7957.628738     1.096002     9183.286287
197.143000     1234.139480     0.113900     7875.115692     1.099841     9109.255172
1345.670000     1360.394640     0.147921     6776.699021     1.159623     8137.093661
1458.700000     1374.524009     0.152123     6667.142827     1.166638     8041.666835
1554.038000     1386.718813     0.155816     6574.493432     1.172749     7961.212245
2779.849000     1570.940461     0.219718     5358.830909     1.271852     6929.771369
3908.170000     1806.347704     0.327110     4179.230222     1.420437     5985.577926
3998.700000     1829.325449     0.339398     4080.722946     1.436507     5910.048395
4032.500000     1838.101934     0.344184     4043.755796     1.442726     5881.857730
4377.700000     1934.584953     0.400381     3659.636356     1.514254     5594.221309
4549.900000     1988.040706     0.434520     3462.883860     1.556550     5450.924566
4556.100000     1990.040587     0.435841     3455.726971     1.558172     5445.767558
4648.000000     2020.342809     0.456267     3349.003658     1.583108     5369.346467
4682.500000     2032.049084     0.464364     3308.617515     1.592927     5340.666599
5106.600000     2193.368188     0.588780     2795.154000     1.739866     4988.522188
5337.000000     2297.987969     0.683997     2499.540634     1.848486     4797.528603
5418.000000     2338.454419     0.724373     2391.979934     1.893791     4730.434353
5463.500000     2362.156991     0.749022     2330.600338     1.921263     4692.757329
5500.700000     2382.093645     0.770354     2279.865839     1.944930     4661.959485
5535.000000     2400.945221     0.791044     2232.622269     1.967797     4633.567489
5621.000000     2450.345952     0.847781     2112.055314     2.030092     4562.401266
5938.000000     2666.064148     1.146255     1634.264898     2.350398     4300.329046
6070.000000     2777.774979     1.342286     1413.537989     2.556200     4191.312968
6088.000000     2794.393643     1.374506     1382.058393     2.589786     4176.452036
6160.600000     2865.533031     1.522890     1250.991569     2.743764     4116.524599
6282.000000     3003.034218     1.868406     1013.321853     3.098953     4016.356071
6330.000000     3066.015298     2.060140     910.749039     3.294624     3976.764337
6496.700000     3354.108394     3.440896     485.214029     4.689588     3839.322423
6500.000000     3361.662164     3.496250     474.940310     4.745233     3836.602474
6527.500000     3429.960231     4.081919     383.977248     5.333327     3813.937480
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.096637. a0 = 11.203729MeV. a1 = -1.239096. a2 = 0.003388(MeV)^-1



