This file was generated by QKinz.


Protons:
Number_of_entries: 27
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     786.960851     2.578018     14797.858980     65.923435     15584.819831
134.243000     792.409277     2.621950     14659.587499     66.033599     15451.996776
206.244000     795.367473     2.645998     14585.388809     66.093558     15380.756281
303.130000     799.388450     2.678909     14485.503952     66.175223     15284.892402
511.766000     808.208407     2.752001     14270.244055     66.355028     15078.452461
581.990000     811.227790     2.777309     14197.738237     66.416796     15008.966027
589.136000     811.536501     2.779905     14190.358534     66.423117     15001.895035
618.362000     812.801904     2.790561     14160.173813     66.449041     14972.975717
625.513000     813.112215     2.793178     14152.787518     66.455401     14965.899733
647.230000     814.056280     2.801150     14130.354218     66.474758     14944.410498
685.775000     815.738118     2.815387     14090.531434     66.509269     14906.269551
718.730000     817.182413     2.827649     14056.477387     66.538932     14873.659800
767.800000     819.343933     2.846065     14005.759586     66.583374     14825.103519
772.900000     819.569344     2.847989     14000.487543     66.588012     14820.056887
816.564000     821.505082     2.864552     13955.344525     66.627866     14776.849606
826.790000     821.959952     2.868453     13944.770566     66.637238     14766.730519
844.860000     822.765160     2.875367     13926.084233     66.653834     14748.849393
864.640000     823.648655     2.882964     13905.627417     66.672052     14729.276072
879.459000     824.311997     2.888677     13890.299869     66.685737     14714.611866
933.620000     826.746928     2.909709     13834.269337     66.736018     14661.016265
960.180000     827.947071     2.920111     13806.786258     66.760827     14634.733328
969.300000     828.360096     2.923696     13797.348337     66.769369     14625.708433
1000.930000     829.796244     2.936184     13764.611909     66.799088     14594.408154
1003.140000     829.896803     2.937060     13762.324381     66.801170     14592.221184
1190.470000     838.524226     3.012806     13568.315620     66.980252     14406.839846
1220.910000     839.945757     3.025405     13536.770065     67.009849     14376.715822
1230.110000     840.376488     3.029229     13527.234795     67.018822     14367.611283
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.003098. a0 = 15.640352MeV. a1 = -0.992750. a2 = -0.000715(MeV)^-1



Deutrons:
Number_of_entries: 50
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1908.027201     12.018077     8361.282333     86.798655     10269.309534
59.010000     1917.437628     12.179213     8293.663894     87.045616     10211.101523
99.361000     1923.939364     12.291434     8247.356945     87.216987     10171.296308
146.274000     1931.567917     12.424036     8193.447224     87.418837     10125.015141
149.000000     1932.013515     12.431813     8190.312250     87.430653     10122.325765
173.929000     1936.100397     12.503301     8161.630826     87.539166     10097.731223
210.699000     1942.168072     12.609976     8119.284933     87.700722     10061.453006
268.798000     1951.852926     12.781582     8052.274346     87.959709     10004.127272
273.627000     1952.663342     12.796017     8046.698991     87.981443     9999.362333
314.009000     1959.473466     12.917776     8000.041287     88.164469     9959.514752
316.463000     1959.889232     12.925236     7997.203923     88.175665     9957.093155
317.845000     1960.123473     12.929441     7995.605926     88.181974     9955.729399
322.379000     1960.892452     12.943250     7990.362782     88.202692     9951.255234
330.000000     1962.186699     12.966516     7981.548044     88.237581     9943.734743
351.202000     1965.798641     13.031603     7957.013287     88.335081     9922.811927
378.392000     1970.455152     13.115857     7925.523867     88.461065     9895.979019
417.792000     1977.252035     13.239536     7879.842534     88.645546     9857.094569
420.559000     1977.731581     13.248294     7876.632109     88.658588     9854.363691
425.823000     1978.644686     13.264980     7870.523691     88.683431     9849.168378
462.969000     1985.118322     13.383714     7827.387594     88.859925     9812.505916
469.779000     1986.310914     13.405670     7819.473429     88.892508     9805.784343
470.514000     1986.439737     13.408044     7818.619145     88.896029     9805.058882
471.000000     1986.524930     13.409613     7818.054260     88.898358     9804.579190
497.293000     1991.147649     13.494982     7787.479252     89.024879     9778.626901
500.722000     1991.752514     13.506181     7783.489744     89.041458     9775.242259
534.370000     1997.712526     13.616885     7744.316064     89.205119     9742.028591
549.330000     2000.376801     13.666583     7726.884344     89.278457     9727.261145
559.976000     2002.278234     13.702130     7714.473731     89.330863     9716.751965
562.000000     2002.640246     13.708905     7712.113711     89.340847     9714.753957
577.723000     2005.458077     13.761726     7693.774582     89.418629     9699.232659
588.709000     2007.432890     13.798831     7680.954476     89.473214     9688.387367
601.580000     2009.752786     13.842512     7665.928195     89.537416     9675.680980
623.890000     2013.790030     13.918765     7639.865674     89.649343     9653.655705
646.332000     2017.871846     13.996167     7613.627483     89.762764     9631.499329
657.990000     2020.000484     14.036654     7599.988907     89.822016     9619.989390
665.188000     2021.317600     14.061748     7591.565101     89.858715     9612.882701
680.030000     2024.040294     14.113724     7574.188426     89.934663     9598.228721
686.058000     2025.148748     14.134923     7567.128236     89.965617     9592.276984
691.340000     2026.121283     14.153543     7560.940478     89.992790     9587.061761
736.127000     2034.415241     14.313050     7508.423941     90.225142     9542.839182
744.810000     2036.033161     14.344316     7498.232073     90.270594     9534.265234
761.420000     2039.137213     14.404439     7478.726288     90.357914     9517.863501
785.310000     2043.622791     14.491642     7450.649467     90.484368     9494.272258
796.630000     2045.756961     14.533266     7437.336532     90.544647     9483.093493
818.940000     2049.979646     14.615878     7411.081579     90.664130     9461.061225
821.310000     2050.429521     14.624699     7408.291159     90.676877     9458.720680
826.152000     2051.349410     14.642748     7402.589419     90.702950     9453.938829
855.040000     2056.859389     14.751199     7368.549480     90.859413     9425.408869
864.170000     2058.608619     14.785749     7357.783116     90.909188     9416.391735
997.840000     2084.658334     15.307258     7199.699504     91.656359     9284.357838
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.000129. a0 = 10.250417MeV. a1 = -0.979883. a2 = -0.001794(MeV)^-1



Tritons:
Number_of_entries: 18
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     2644.628675     19.030641     7503.890877     100.064659     10148.519552
125.358100     2673.937657     19.636667     7351.520330     100.901509     10025.457988
284.100000     2712.296173     20.451571     7157.288458     102.015325     9869.584631
368.200000     2733.210689     20.906493     7053.775074     102.631703     9786.985763
475.600000     2760.546214     21.512595     6920.937170     103.447205     9681.483384
546.900000     2779.096583     21.931454     6832.334237     104.007117     9611.430820
646.119000     2805.468028     22.537592     6708.462823     104.812315     9513.930851
697.000000     2819.251658     22.859466     6644.671950     105.237546     9463.923608
717.432000     2824.837552     22.990908     6619.003413     105.410740     9443.840966
