This file was generated by QKinz.


Protons:
Number_of_entries: 27
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     789.021207     2.624826     14817.474234     67.034371     15606.495441
134.243000     794.481145     2.669719     14679.087471     67.151045     15473.568615
206.244000     797.445581     2.694295     14604.826677     67.214538     15402.272258
303.130000     801.475031     2.727929     14504.857952     67.301010     15306.332983
511.766000     810.313531     2.802632     14289.416254     67.491363     15099.729784
581.990000     813.339249     2.828500     14216.848871     67.556743     15030.188120
589.136000     813.648608     2.831153     14209.462892     67.563434     15023.111500
618.362000     814.916663     2.842045     14179.252485     67.590872     14994.169148
625.513000     815.227624     2.844721     14171.859900     67.597603     14987.087524
647.230000     816.173667     2.852869     14149.407485     67.618090     14965.581153
685.775000     817.859027     2.867422     14109.550730     67.654614     14927.409757
718.730000     819.306346     2.879957     14075.467592     67.686007     14894.773939
767.800000     821.472388     2.898782     14024.706396     67.733037     14846.178784
772.900000     821.698270     2.900749     14019.429838     67.737945     14841.128108
816.564000     823.638054     2.917681     13974.248115     67.780116     14797.886170
826.790000     824.093875     2.921669     13963.665082     67.790033     14787.758957
844.860000     824.900765     2.928736     13944.962702     67.807593     14769.863467
864.640000     825.786105     2.936503     13924.488305     67.826870     14750.274410
879.459000     826.450832     2.942344     13909.147576     67.841350     14735.598408
933.620000     828.890844     2.963845     13853.068794     67.894547     14681.959638
960.180000     830.093490     2.974480     13825.562009     67.920795     14655.655499
969.300000     830.507376     2.978145     13816.115943     67.929832     14646.623319
1000.930000     831.946517     2.990912     13783.351236     67.961272     14615.297753
1003.140000     832.047286     2.991808     13781.061730     67.963474     14613.109016
1190.470000     840.692660     3.069253     13586.884623     68.152901     14427.577283
1220.910000     842.117143     3.082135     13555.311576     68.184203     14397.428719
1230.110000     842.548769     3.086045     13545.767988     68.193692     14388.316757
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.003102. a0 = 15.643231MeV. a1 = -0.991015. a2 = -0.000748(MeV)^-1



Deutrons:
Number_of_entries: 50
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1911.735046     12.349794     8381.526854     89.215920     10293.261899
59.010000     1921.155720     12.515988     8313.817694     89.474927     10234.973414
99.361000     1927.664499     12.631735     8267.448524     89.654638     10195.113023
146.274000     1935.301277     12.768509     8213.466275     89.866294     10148.767552
149.000000     1935.747354     12.776530     8210.327080     89.878684     10146.074434
173.929000     1939.838624     12.850269     8181.607024     89.992458     10121.445649
210.699000     1945.912793     12.960303     8139.204045     90.161838     10085.116838
268.798000     1955.607955     13.137321     8072.102996     90.433341     10027.710950
273.627000     1956.419230     13.152211     8066.520107     90.456124     10022.939337
314.009000     1963.236557     13.277813     8019.799320     90.647973     9983.035877
316.463000     1963.652762     13.285509     8016.958118     90.659709     9980.610880
317.845000     1963.887251     13.289846     8015.357959     90.666322     9979.245209
322.379000     1964.657041     13.304091     8010.107720     90.688037     9974.764761
330.000000     1965.952652     13.328092     8001.281053     90.724605     9967.233705
351.202000     1969.568394     13.395235     7976.713080     90.826795     9946.281474
378.392000     1974.229790     13.482153     7945.181001     90.958834     9919.410790
417.792000     1981.033775     13.609744     7899.437725     91.152165     9880.471499
420.559000     1981.513821     13.618779     7896.222944     91.165833     9877.736765
425.823000     1982.427877     13.635993     7890.106237     91.191866     9872.534114
462.969000     1988.908239     13.758486     7846.911573     91.376810     9835.819813
469.779000     1990.102066     13.781138     7838.986656     91.410952     9829.088723
470.514000     1990.231023     13.783586     7838.131212     91.414642     9828.362235
471.000000     1990.316304     13.785206     7837.565559     91.417082     9827.881863
497.293000     1994.943803     13.873279     7806.948995     91.549649     9801.892798
500.722000     1995.549293     13.884833     7802.954062     91.567020     9798.503355
534.370000     2001.515441     13.999047     7763.727090     91.738490     9765.242531
549.330000     2004.182451     14.050321     7746.271640     91.815322     9750.454091
559.976000     2006.085832     14.086996     7733.844127     91.870225     9739.929959
562.000000     2006.448215     14.093987     7731.480894     91.880684     9737.929108
577.723000     2009.268929     14.148484     7713.116780     91.962169     9722.385709
588.709000     2011.245758     14.186767     7700.279205     92.019350     9711.524962
601.580000     2013.568018     14.231835     7685.232439     92.086604     9698.800457
623.890000     2017.609369     14.310510     7659.134375     92.203847     9676.743744
