This file was generated by QKinz.


Protons:
Number_of_entries: 33
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1176.184102     0.107214     8376.878311     1.138275     9553.062413
109.894000     1186.134390     0.109650     8272.193887     1.143160     9458.328276
197.143000     1194.176214     0.111647     8188.962636     1.147130     9383.138850
1345.670000     1313.536172     0.144311     7081.839014     1.208503     8395.375186
1458.700000     1326.851870     0.148324     6971.523733     1.215650     8298.375603
1554.038000     1338.337275     0.151848     6878.251709     1.221866     8216.588984
2779.849000     1510.979525     0.212257     5656.574182     1.321425     7167.553707
3908.170000     1728.848393     0.311381     4477.477134     1.466233     6206.325527
3998.700000     1749.921556     0.322529     4379.469562     1.481568     6129.391118
4032.500000     1757.960607     0.326861     4342.713807     1.487486     6100.674414
4377.700000     1845.955172     0.377268     3961.662325     1.554847     5807.617497
4549.900000     1894.387665     0.407480     3767.195763     1.594070     5661.583428
4556.100000     1896.194916     0.408643     3760.132526     1.595565     5656.327442
4648.000000     1923.535482     0.426563     3654.900292     1.618464     5578.435774
4682.500000     1934.075673     0.433636     3615.126483     1.627437     5549.202156
5106.600000     2077.971319     0.540088     3112.202844     1.758718     5190.174163
5337.000000     2169.775109     0.618711     2825.605310     1.852090     4995.380418
5418.000000     2204.920437     0.651299     2722.019402     1.890098     4926.939839
5463.500000     2225.404820     0.670974     2663.099345     1.912873     4888.504165
5500.700000     2242.574382     0.687864     2614.510401     1.932330     4857.084784
5535.000000     2258.757429     0.704128     2569.361255     1.950984     4828.118684
5621.000000     2300.915531     0.748116     2454.593164     2.001077     4755.508695
5938.000000     2480.162445     0.964879     2007.898429     2.241776     4488.060874
6070.000000     2569.271018     1.093983     1807.510182     2.381576     4376.781200
6088.000000     2582.271511     1.114215     1779.338932     2.403303     4361.610443
6160.600000     2637.093867     1.203861     1663.336695     2.499068     4300.430563
6282.000000     2738.759101     1.390936     1459.398544     2.696710     4198.157645
6330.000000     2783.134041     1.482400     1374.596341     2.792475     4157.730382
6496.700000     2962.651980     1.931860     1054.719462     3.257439     4017.371443
6500.000000     2966.712465     1.943826     1047.881045     3.269721     4014.593509
6527.500000     3001.526128     2.050432     989.918819     3.378977     3991.444947
6554.000000     3036.871496     2.166613     932.268122     3.497735     3969.139618
6592.000000     3091.128678     2.362857     846.028377     3.697719     3937.157055
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.032284. a0 = 11.313405MeV. a1 = -1.209709. a2 = 0.002668(MeV)^-1



