This file was generated by QKinz.


Protons:
Number_of_entries: 36
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1161.023089     0.107946     8629.202400     1.189102     9790.225489
109.894000     1170.700112     0.110377     8523.554956     1.194258     9694.255068
197.143000     1178.519060     0.112368     8439.561421     1.198447     9618.080482
1345.670000     1294.349979     0.144859     7322.683921     1.262884     8617.033900
1458.700000     1307.245254     0.148839     7211.448630     1.270348     8518.693884
1554.038000     1318.363529     0.152331     7117.408243     1.276834     8435.771772
2779.849000     1484.953382     0.211869     5886.763009     1.379870     7371.716391
3908.170000     1693.546694     0.308199     4702.352858     1.526852     6395.899551
3998.700000     1713.610870     0.318926     4604.148660     1.542214     6317.759530
4032.500000     1721.259325     0.323088     4567.331967     1.548132     6288.591292
4377.700000     1804.763809     0.371270     4186.114223     1.615072     5990.878032
4549.900000     1850.547359     0.399930     3991.942562     1.653693     5842.489920
4556.100000     1852.253188     0.401030     3984.895592     1.655160     5837.148780
4648.000000     1878.036113     0.417947     3879.955527     1.677579     5757.991640
4682.500000     1887.963937     0.424608     3840.317423     1.686339     5728.281360
5106.600000     2022.786636     0.523738     3340.534438     1.812876     5363.321074
5337.000000     2108.030985     0.595581     3057.215364     1.900978     5165.246349
5418.000000     2140.486545     0.625010     2955.155719     1.936378     5095.642264
5463.500000     2159.354497     0.642677     2897.196194     1.957460     5056.550691
5500.700000     2175.140641     0.657785     2849.453166     1.975393     5024.593807
5535.000000     2189.995315     0.672277     2805.135791     1.992519     4995.131106
5621.000000     2228.577543     0.711217     2692.694194     2.038176     4921.271737
5938.000000     2390.531259     0.897407     2258.633931     2.250685     4649.165190
6070.000000     2469.573744     1.003699     2066.346544     2.368723     4535.920288
6088.000000     2481.011718     1.020039     2039.468652     2.386704     4520.480371
6160.600000     2528.959116     1.091396     1929.252886     2.464776     4458.212001
6282.000000     2616.530838     1.234770     1737.577710     2.619741     4354.108548
6330.000000     2654.141033     1.302124     1658.812865     2.691809     4312.953898
6496.700000     2801.667321     1.606833     1368.385407     3.013501     4170.052729
6500.000000     2804.905463     1.614352     1362.318753     3.021367     4167.224215
6527.500000     2832.462838     1.680000     1311.190933     3.089914     4143.653771
6554.000000     2860.044825     1.748819     1260.896423     3.161555     4120.941248
6592.000000     2901.538525     1.858720     1186.835143     3.275549     4088.373668
6787.000000     3166.051983     2.812934     755.218786     4.251668     3921.270770
6838.400000     3259.121108     3.315284     618.107272     4.760056     3877.228380
6891.000000     3374.266749     4.171982     457.892137     5.623051     3832.158886
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.013019. a0 = 11.400852MeV. a1 = -1.184600. a2 = 0.002053(MeV)^-1



