This file was generated by QKinz.


Protons:
Number_of_entries: 27
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     791.165233     2.547041     14762.880748     64.659579     15554.045981
134.243000     796.649388     2.590291     14624.711867     64.762716     15421.361255
206.244000     799.627023     2.613965     14550.568180     64.818860     15350.195203
303.130000     803.674469     2.646363     14450.757304     64.895342     15254.431773
511.766000     812.552667     2.718309     14235.656575     65.063781     15048.209242
581.990000     815.592046     2.743219     14163.204280     65.121660     14978.796326
589.136000     815.902804     2.745774     14155.830022     65.127584     14971.732825
618.362000     817.176597     2.756262     14125.667566     65.151878     14942.844162
625.513000     817.488966     2.758838     14118.286718     65.157839     14935.775684
647.230000     818.439295     2.766684     14095.869959     65.175980     14914.309253
685.775000     820.132299     2.780697     14056.076524     65.208325     14876.208823
718.730000     821.586192     2.792765     14022.047563     65.236129     14843.633755
767.800000     823.762087     2.810889     13971.367101     65.277789     14795.129188
772.900000     823.988997     2.812784     13966.098938     65.282137     14790.087936
816.564000     825.937624     2.829084     13920.989129     65.319499     14746.926753
826.790000     826.395524     2.832923     13910.422947     65.328285     14736.818471
844.860000     827.206098     2.839727     13891.750352     65.343845     14718.956449
864.640000     828.095483     2.847205     13871.308571     65.360926     14699.404054
879.459000     828.763249     2.852827     13855.992285     65.373758     14684.755535
933.620000     831.214432     2.873524     13800.002901     65.420905     14631.217333
960.180000     832.422592     2.883761     13772.539992     65.444171     14604.962583
969.300000     832.838377     2.887289     13763.108996     65.452181     14595.947373
1000.930000     834.284128     2.899578     13730.396578     65.480053     14564.680706
1003.140000     834.385359     2.900440     13728.110727     65.482005     14562.496086
1190.470000     843.070613     2.974976     13534.243980     65.649993     14377.314593
1220.910000     844.501696     2.987373     13502.721470     65.677762     14347.223166
1230.110000     844.935323     2.991135     13493.193163     65.686181     14338.128485
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.003076. a0 = 15.633548MeV. a1 = -0.994918. a2 = -0.000676(MeV)^-1



Deutrons:
Number_of_entries: 50
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1921.248921     11.771732     8313.151362     84.147032     10234.400283
59.010000     1930.756129     11.929338     8245.539943     84.382513     10176.296072
99.361000     1937.324998     12.039104     8199.237003     84.545952     10136.562001
146.274000     1945.032601     12.168810     8145.331116     84.738494     10090.363717
149.000000     1945.482826     12.176417     8142.196337     84.749767     10087.679163
173.929000     1949.612192     12.246345     8113.516552     84.853293     10063.128744
210.699000     1955.743105     12.350693     8071.172598     85.007445     10026.915703
268.798000     1965.529300     12.518564     8004.163885     85.254613     9969.693184
273.627000     1966.348218     12.532685     7998.588619     85.275358     9964.936837
314.009000     1973.229931     12.651798     7951.931251     85.450073     9925.161182
316.463000     1973.650076     12.659096     7949.093884     85.460762     9922.743959
317.845000     1973.886784     12.663209     7947.495884     85.466785     9921.382668
322.379000     1974.663865     12.676718     7942.252723     85.486564     9916.916589
330.000000     1975.971755     12.699479     7933.437937     85.519873     9909.409692
351.202000     1979.621820     12.763154     7908.902905     85.612965     9888.524725
378.392000     1984.327584     12.845582     7877.412827     85.733266     9861.740411
417.792000     1991.196570     12.966583     7831.729920     85.909451     9822.926490
420.559000     1991.681212     12.975151     7828.519357     85.921908     9820.200569
425.823000     1992.604025     12.991476     7822.410665     85.945637     9815.014690
462.969000     1999.146619     13.107644     7779.272253     86.114229     9778.418872
469.779000     2000.351939     13.129126     7771.357590     86.145357     9771.709529
