This file was generated by QKinz.


Protons:
Number_of_entries: 33
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1183.879752     0.107428     8295.747942     1.124605     9479.627694
109.894000     1193.945538     0.109878     8191.333237     1.129429     9385.278776
197.143000     1202.081458     0.111886     8108.314837     1.133351     9310.396295
1345.670000     1322.920294     0.144774     7003.848707     1.194089     8326.769001
1458.700000     1336.410995     0.148819     6893.775598     1.201175     8230.186592
1554.038000     1348.049044     0.152372     6800.704283     1.207340     8148.753327
2779.849000     1523.189381     0.213409     5581.199150     1.306374     7104.388531
3908.170000     1744.849007     0.314102     4402.839973     1.451439     6147.688980
3998.700000     1766.333381     0.325471     4304.795030     1.466876     6071.128411
4032.500000     1774.531598     0.329891     4268.020104     1.472837     6042.551702
4377.700000     1864.355792     0.381424     3886.582075     1.540849     5750.937868
4549.900000     1913.868338     0.412403     3691.764591     1.580588     5605.632929
4556.100000     1915.716960     0.413597     3684.686353     1.582105     5600.403312
4648.000000     1943.693134     0.432007     3579.210340     1.605357     5522.903473
4682.500000     1954.483332     0.439281     3539.334089     1.614478     5493.817421
5106.600000     2102.095006     0.549237     3034.529801     1.748586     5136.624807
5337.000000     2196.604463     0.631068     2746.240716     1.844770     4942.845178
5418.000000     2232.865187     0.665149     2641.898858     1.884125     4874.764045
5463.500000     2254.021717     0.685772     2582.509238     1.907767     4836.530955
5500.700000     2271.767692     0.703507     2533.509875     1.928000     4805.277567
5535.000000     2288.505255     0.720609     2487.959554     1.947429     4776.464809
5621.000000     2332.161391     0.766995     2372.079132     1.999759     4704.240523
5938.000000     2518.779964     0.998546     1919.449843     2.254624     4438.229806
6070.000000     2612.294642     1.139057     1715.261148     2.405558     4327.555790
6088.000000     2625.987802     1.161271     1686.480153     2.429228     4312.467955
6160.600000     2683.888072     1.260365     1567.735279     2.534285     4251.623351
6282.000000     2792.032550     1.470973     1357.881460     2.755196     4149.914010
6330.000000     2839.608214     1.576017     1270.102382     2.864432     4109.710596
6496.700000     3035.255675     2.116508     934.877896     3.420042     3970.133571
6500.000000     3039.756196     2.131544     927.614991     3.435387     3967.371187
6527.500000     3078.518038     2.267253     865.834274     3.573680     3944.352312
6554.000000     3118.227145     2.419011     803.944988     3.727953     3922.172134
6592.000000     3180.016373     2.685854     710.352971     3.998444     3890.369343
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.046701. a0 = 11.285226MeV. a1 = -1.217527. a2 = 0.002860(MeV)^-1



