This file was generated by QKinz.


Protons:
Number_of_entries: 27
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     791.526291     2.657297     14826.091890     67.694417     15617.618181
134.243000     797.002702     2.702848     14687.633345     67.815044     15484.636047
206.244000     799.976083     2.727785     14613.333829     67.880686     15413.309912
303.130000     804.017693     2.761914     14513.312747     67.970079     15317.330440
511.766000     812.882868     2.837722     14297.757312     68.166844     15110.640180
581.990000     815.917720     2.863973     14225.151336     68.234421     15041.069055
589.136000     816.228012     2.866666     14217.761421     68.241337     15033.989433
618.362000     817.499895     2.877720     14187.534898     68.269696     15005.034793
625.513000     817.811795     2.880435     14180.138366     68.276653     14997.950161
647.230000     818.760694     2.888705     14157.673953     68.297827     14976.434648
685.775000     820.451143     2.903474     14117.795864     68.335575     14938.247007
718.730000     821.902831     2.916196     14083.694449     68.368020     14905.597280
767.800000     824.075413     2.935301     14032.905971     68.416625     14856.981384
772.900000     824.301977     2.937298     14027.626572     68.421697     14851.928549
816.564000     826.247619     2.954482     13982.420498     68.465279     14808.668117
826.790000     826.704816     2.958529     13971.831753     68.475527     14798.536568
844.860000     827.514142     2.965702     13953.119270     68.493674     14780.633412
864.640000     828.402156     2.973586     13932.633802     68.513595     14761.035958
879.459000     829.068891     2.979513     13917.284770     68.528559     14746.353660
933.620000     831.516271     3.001337     13861.175577     68.583532     14692.691848
960.180000     832.722549     3.012130     13833.653843     68.610655     14666.376392
969.300000     833.137686     3.015850     13824.202637     68.619993     14657.340323
1000.930000     834.581174     3.028809     13791.420085     68.652481     14626.001259
1003.140000     834.682247     3.029718     13789.129331     68.654757     14623.811578
1190.470000     843.353739     3.108328     13594.845807     68.850483     14438.199547
1220.910000     844.782527     3.121403     13563.255350     68.882824     14408.037877
1230.110000     845.215457     3.125372     13553.706494     68.892628     14398.921951
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.003111. a0 = 15.644014MeV. a1 = -0.990042. a2 = -0.000768(MeV)^-1



Deutrons:
Number_of_entries: 50
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1917.384618     12.575543     8387.966599     90.674701     10305.351217
59.010000     1926.833078     12.745236     8320.186002     90.941365     10247.019080
99.361000     1933.361077     12.863423     8273.767674     91.126383     10207.128752
146.274000     1941.020434     13.003084     8219.727952     91.344280     10160.748386
149.000000     1941.467831     13.011275     8216.585407     91.357035     10158.053238
173.929000     1945.571209     13.086572     8187.834659     91.474162     10133.405867
210.699000     1951.663369     13.198934     8145.386225     91.648527     10097.049593
268.798000     1961.387285     13.379702     8078.212905     91.928010     10039.600189
273.627000     1962.200968     13.394908     8072.623984     91.951463     10034.824952
314.009000     1969.038545     13.523176     8025.852603     92.148943     9994.891147
316.463000     1969.455987     13.531035     8023.008317     92.161023     9992.464304
317.845000     1969.691172     13.535464     8021.406421     92.167829     9991.097593
322.379000     1970.463251     13.550012     8016.150482     92.190181     9986.613732
330.000000     1971.762713     13.574522     8007.314225     92.227822     9979.076938
351.202000     1975.389209     13.643093     7982.719521     92.333008     9958.108730
378.392000     1980.064479     13.731859     7951.153047     92.468914     9931.217526
417.792000     1986.888735     13.862167     7905.359705     92.667904     9892.248440
420.559000     1987.370212     13.871394     7902.141398     92.681971     9889.511611
425.823000     1988.286994     13.888976     7896.017979     92.708766     9884.304973
462.969000     1994.786690     14.014081     7852.775812     92.899115     9847.562502
469.779000     1995.984081     14.037216     7844.842160     92.934255     9840.826241
470.514000     1996.113423     14.039717     7843.985772     92.938052     9840.099195
471.000000     1996.198959     14.041371     7843.419495     92.940563     9839.618454
497.293000     2000.840280     14.131325     7812.769120     93.077001     9813.609400
500.722000     2001.447579     14.143125     7808.769769     93.094879     9810.217348
534.370000     2007.431567     14.259781     7769.499324     93.271350     9776.930892
549.330000     2010.106557     14.312152     7752.024480     93.350422     9762.131038
559.976000     2012.015637     14.349612     7739.583141     93.406925     9751.598778
562.000000     2012.379105     14.356752     7737.217276     93.417689     9749.596380
577.723000     2015.208267     14.412416     7718.832698     93.501546     9734.040965
588.709000     2017.191019     14.451520     7705.980796     93.560393     9723.171815
601.580000     2019.520241     14.497553     7690.917217     93.629603     9710.437457
623.890000     2023.573713     14.577916     7664.789935     93.750258     9688.363647
646.332000     2027.671932     14.659491     7638.486453     93.872515     9666.158385
657.990000     2029.809122     14.702162     7624.813903     93.936380     9654.623025
665.188000     2031.131530     14.728610     7616.369101     93.975934     9647.500631
680.030000     2033.865162     14.783391     7598.949085     94.057790     9632.814247
686.058000     2034.978068     14.805736     7591.871273     94.091149     9626.849341
691.340000     2035.954510     14.825360     7585.668066     94.120435     9621.622576
736.127000     2044.281774     14.993485     7533.020198     94.370828     9577.301973
744.810000     2045.906190     15.026442     7522.802800     94.419806     9568.708989
761.420000     2049.022703     15.089817     7503.248113     94.513895     9552.270816
785.310000     2053.526284     15.181739     7475.100812     94.650144     9528.627097
796.630000     2055.669019     15.225616     7461.754421     94.715088     9517.423440
818.940000     2059.908648     15.312702     7435.433416     94.843813     9495.342064
821.310000     2060.360328     15.322001     7432.635970     94.857545     9492.996298
826.152000     2061.283908     15.341028     7426.919871     94.885634     9488.203778
855.040000     2066.815989     15.455357     7392.794114     95.054181     9459.610103
864.170000     2068.572235     15.491782     7382.000574     95.107797     9450.572809
997.840000     2094.726365     16.041625     7223.516078     95.912456     9318.242443
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.000124. a0 = 10.254825MeV. a1 = -0.975833. a2 = -0.001884(MeV)^-1



Tritons:
Number_of_entries: 18
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     2656.104153     20.034772     7536.082041     105.301641     10192.186194
125.358100     2685.503159     20.676318     7383.300552     106.203748     10068.803711
284.100000     2723.978643     21.539090     7188.542101     107.403913     9912.520744
368.200000     2744.956524     22.020785     7084.746853     108.067834     9829.703377
475.600000     2772.374425     22.662608     6951.546007     108.945982     9723.920432
546.900000     2790.980409     23.106185     6862.700236     109.548739     9653.680644
646.119000     2817.430512     23.748140     6738.488330     110.415322     9555.918842
697.000000     2831.255064     24.089053     6674.521669     110.872863     9505.776733
717.432000     2836.857505     24.228274     6648.782314     111.059195     9485.639819
757.400000     2847.902628     24.504556     6598.343697     111.428100     9446.246325
768.930000     2851.110301     24.585246     6583.771083     111.535625     9434.881384
874.815000     2881.026206     25.347694     6449.471621     112.546959     9330.497827
880.282000     2882.593691     25.388141     6442.513946     112.600378     9325.107637
931.060000     2897.262758     25.769091     6377.776897     113.102386     9275.039655
949.500000     2902.639625     25.909831     6354.216343     113.287349     9256.855968
1000.000000     2917.503259     26.302001     6289.550428     113.801341     9207.053687
1230.400000     2988.021713     28.226276     5991.734248     116.295123     8979.755960
1277.000000     3002.854484     28.644754     5930.912223     116.831606     8933.766707
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.000030. a0 = 10.171579MeV. a1 = -0.977938. a2 = -0.001975(MeV)^-1



