This file was generated by QKinz.


Protons:
Number_of_entries: 27
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     794.534061     2.546161     14749.786610     64.322826     15544.320671
134.243000     800.044440     2.589365     14611.632878     64.424207     15411.677318
206.244000     803.036333     2.613013     14537.497191     64.479400     15340.533525
303.130000     807.103184     2.645375     14437.696940     64.554589     15244.800124
511.766000     816.024040     2.717242     14222.618517     64.720198     15038.642557
581.990000     819.078053     2.742124     14150.173548     64.777109     14969.251601
589.136000     819.390307     2.744676     14142.800030     64.782934     14962.190337
618.362000     820.670239     2.755153     14112.640591     64.806823     14933.310830
625.513000     820.984113     2.757726     14105.260479     64.812684     14926.244593
647.230000     821.939024     2.765563     14082.845948     64.830523     14904.784972
685.775000     823.640194     2.779559     14043.056445     64.862330     14866.696639
718.730000     825.101103     2.791615     14009.030823     64.889673     14834.131926
767.800000     827.287505     2.809718     13958.355292     64.930642     14785.642797
772.900000     827.515512     2.811610     13953.087639     64.934917     14780.603151
816.564000     829.473555     2.827893     13907.982172     64.971661     14737.455727
826.790000     829.933670     2.831727     13897.417001     64.980302     14727.350670
844.860000     830.748163     2.838523     13878.746187     64.995605     14709.494350
864.640000     831.641850     2.845992     13858.306349     65.012404     14689.948199
879.459000     832.312847     2.851608     13842.991513     65.025024     14675.304361
933.620000     834.775896     2.872282     13787.007390     65.071395     14621.783285
960.180000     835.989909     2.882507     13759.547037     65.094277     14595.536945
969.300000     836.407709     2.886031     13750.116915     65.102156     14586.524624
1000.930000     837.860467     2.898306     13717.407517     65.129570     14555.267983
1003.140000     837.962189     2.899167     13715.121875     65.131491     14553.084065
1190.470000     846.689617     2.973618     13521.272549     65.296732     14367.962165
1220.910000     848.127661     2.986000     13489.752795     65.324049     14337.880455
1230.110000     848.563398     2.989758     13480.225316     65.332332     14328.788714
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.003043. a0 = 15.630832MeV. a1 = -0.995553. a2 = -0.000664(MeV)^-1



Deutrons:
Number_of_entries: 50
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1930.736313     11.748553     8292.391317     83.471378     10223.127630
59.010000     1940.306317     11.905939     8224.747153     83.704512     10165.053470
99.361000     1946.918721     12.015555     8178.421266     83.866334     10125.339987
146.274000     1954.677561     12.145086     8124.488119     84.056987     10079.165680
149.000000     1955.130784     12.152683     8121.351736     84.068150     10076.482520
173.929000     1959.287675     12.222519     8092.657186     84.170667     10051.944862
210.699000     1965.459545     12.326732     8050.291120     84.323325     10015.750665
268.798000     1975.311337     12.494391     7983.246640     84.568118     9958.557977
273.627000     1976.135757     12.508494     7977.668355     84.588666     9953.804112
