This file was generated by QKinz.


Protons:
Number_of_entries: 27
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     787.503236     2.598570     14808.051600     66.447269     15595.554837
134.243000     792.953875     2.642927     14669.727164     66.560475     15462.681039
206.244000     795.913265     2.667208     14595.499964     66.622085     15391.413229
303.130000     799.935860     2.700439     14495.576626     66.705996     15295.512485
511.766000     808.759334     2.774243     14280.233394     66.890729     15088.992728
581.990000     811.779913     2.799798     14207.699381     66.954184     15019.479294
589.136000     812.088746     2.802420     14200.316805     66.960678     15012.405551
618.362000     813.354648     2.813180     14170.120325     66.987309     14983.474973
625.513000     813.665082     2.815823     14162.731151     66.993843     14976.396232
647.230000     814.609519     2.823873     14140.289102     67.013727     14954.898620
685.775000     816.292017     2.838249     14100.450772     67.049178     14916.742789
718.730000     817.736880     2.850632     14066.383416     67.079649     14884.120296
767.800000     819.899247     2.869229     14015.645768     67.125300     14835.545014
772.900000     820.124745     2.871172     14010.371660     67.130064     14830.496405
816.564000     822.061239     2.887898     13965.210946     67.171000     14787.272184
826.790000     822.516287     2.891838     13954.632839     67.180626     14777.149126
844.860000     823.321808     2.898819     13935.939171     67.197672     14759.260979
864.640000     824.205647     2.906492     13915.474320     67.216385     14739.679967
879.459000     824.869247     2.912261     13900.140749     67.230441     14725.009996
933.620000     827.305122     2.933501     13844.088173     67.282084     14671.393295
960.180000     828.505729     2.944005     13816.594267     67.307565     14645.099996
969.300000     828.918914     2.947626     13807.152627     67.316338     14636.071541
1000.930000     830.355617     2.960238     13774.403286     67.346861     14604.758903
1003.140000     830.456214     2.961122     13772.114855     67.348999     14602.571069
1190.470000     839.086946     3.037619     13578.029289     67.532910     14417.116235
1220.910000     840.509019     3.050343     13546.471200     67.563303     14386.980219
1230.110000     840.939914     3.054205     13536.932139     67.572517     14377.872053
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.003098. a0 = 15.641999MeV. a1 = -0.991917. a2 = -0.000731(MeV)^-1



Deutrons:
Number_of_entries: 50
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1908.626144     12.165319     8372.610197     87.931355     10281.236341
59.010000     1918.034212     12.328683     8304.955011     88.183838     10222.989223
99.361000     1924.534284     12.442457     8258.622912     88.359030     10183.157197
146.274000     1932.160853     12.576896     8204.683932     88.565372     10136.844785
149.000000     1932.606334     12.584781     8201.547257     88.577451     10134.153591
173.929000     1936.692136     12.657259     8172.850275     88.688374     10109.542411
210.699000     1942.758190     12.765413     8130.481424     88.853513     10073.239614
