This file was generated by QKinz.


Protons:
Number_of_entries: 34
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1169.815315     0.107219     8459.513147     1.153453     9629.328462
109.894000     1179.662482     0.109647     8354.532866     1.158412     9534.195348
197.143000     1187.620257     0.111637     8271.067744     1.162441     9458.688000
1345.670000     1305.655051     0.144158     7160.983841     1.224630     8466.638892
1458.700000     1318.813491     0.148149     7050.393479     1.231859     8369.206970
1554.038000     1330.161665     0.151653     6956.892466     1.238144     8287.054131
2779.849000     1500.551313     0.211600     5732.625053     1.338527     7233.176366
3908.170000     1714.989148     0.309471     4552.259481     1.483552     6267.248628
3998.700000     1735.689849     0.320439     4454.236200     1.498839     6189.926049
4032.500000     1743.584734     0.324699     4417.479239     1.504735     6161.063973
4377.700000     1829.922535     0.374175     4036.585704     1.571697     5866.508239
4549.900000     1877.377696     0.403748     3842.338951     1.610561     5719.716647
4556.100000     1879.147524     0.404885     3835.285738     1.612040     5714.433262
4648.000000     1905.913298     0.422395     3730.221137     1.634684     5636.134435
4682.500000     1916.227486     0.429300     3690.519980     1.643548     5606.747466
5106.600000     2056.770961     0.532802     3189.040543     1.772640     5245.811504
5337.000000     2146.144667     0.608720     2903.818337     1.863752     5049.963004
5418.000000     2180.291378     0.640052     2800.857099     1.900665     4981.148476
5463.500000     2200.174959     0.658928     2742.327059     1.922735     4942.502018
5500.700000     2216.829903     0.675110     2694.080011     1.941559     4910.909914
5535.000000     2232.518423     0.690669     2649.265821     1.959580     4881.784244
5621.000000     2273.343335     0.732650     2535.429507     2.007846     4808.772842
5938.000000     2446.095950     0.937190     2093.732821     2.237023     4539.828771
6070.000000     2531.382331     1.057067     1896.535872     2.367905     4427.918203
6088.000000     2543.786398     1.075715     1868.874653     2.388091     4412.661051
6160.600000     2595.973881     1.157874     1755.157944     2.476543     4351.131825
6282.000000     2692.179318     1.326779     1556.092218     2.656316     4248.271536
6330.000000     2733.903344     1.408051     1473.707576     2.742010     4207.610920
6496.700000     2900.577963     1.793890     1165.858665     3.143786     4066.436629
6500.000000     2904.300949     1.803838     1159.341528     3.154059     4063.642477
6527.500000     2936.118974     1.891678     1104.239669     3.244622     4040.358642
6554.000000     2968.223080     1.985773     1049.699680     3.341366     4017.922760
6592.000000     3017.064523     2.140710     968.688126     3.500146     3985.752649
6787.000000     3354.943516     3.905320     465.760369     5.285333     3820.703885
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.020996. a0 = 11.342077MeV. a1 = -1.201604. a2 = 0.002469(MeV)^-1



