This file was generated by QKinz.


Protons:
Number_of_entries: 33
Excitation energy (keV):     Energy dE-detector (keV):     dEnergy dE-detector (keV):     Energy E-detector (keV):    dEnergy dE-detector (keV):     Total particle energy (keV):     
0.000000     1192.921723     0.107853     8216.129918     1.112293     9409.051640
109.894000     1203.115760     0.110321     8111.957960     1.117071     9315.073720
197.143000     1211.356125     0.112345     8029.130717     1.120955     9240.486842
1345.670000     1333.832664     0.145534     6927.009215     1.181223     8260.841879
1458.700000     1347.516755     0.149621     6817.144220     1.188267     8164.660975
1554.038000     1359.323430     0.153212     6724.244340     1.194398     8083.567771
2779.849000     1537.217621     0.215039     5506.478195     1.293189     7043.695816
3908.170000     1763.047428     0.317626     4328.301039     1.438971     6091.348466
3998.700000     1784.984239     0.329256     4230.162711     1.454563     6015.146951
4032.500000     1793.357603     0.333781     4193.347087     1.460589     5986.704690
4377.700000     1885.196362     0.386644     3811.280075     1.529506     5696.476437
4549.900000     1935.899561     0.418526     3615.971779     1.569924     5551.871340
4556.100000     1937.793816     0.419757     3608.873214     1.571468     5546.667030
4648.000000     1966.471346     0.438742     3503.071862     1.595173     5469.543208
4682.500000     1977.537554     0.446250     3463.061199     1.604482     5440.598753
5106.600000     2129.263127     0.560320     2955.903534     1.742098     5085.166661
5337.000000     2226.784328     0.645926     2665.574918     1.841703     4892.359246
5418.000000     2264.291405     0.681769     2560.331201     1.882693     4824.622606
5463.500000     2286.200462     0.703516     2500.383188     1.907385     4786.583651
5500.700000     2304.592694     0.722251     2450.896623     1.928558     4755.489317
5535.000000     2321.952786     0.740348     2404.870697     1.948926     4726.823482
5621.000000     2367.294872     0.789591     2287.673832     2.003969     4654.968705
5938.000000     2562.311145     1.039085     1828.022986     2.276224     4390.334130
6070.000000     2660.939333     1.193834     1619.300433     2.441152     4280.239766
6088.000000     2675.443667     1.218555     1589.787612     2.467296     4265.231279
6160.600000     2736.974437     1.329755     1467.733013     2.584320     4204.707451
6282.000000     2852.914493     1.571553     1250.622676     2.836185     4103.537169
6330.000000     2904.427425     1.695272     1159.120389     2.964001     4063.547814
6496.700000     3121.027652     2.374396     803.690603     3.657904     3924.718255
6500.000000     3126.131207     2.394540     795.839525     3.678350     3921.970732
6527.500000     3170.395008     2.580175     728.680781     3.866511     3899.075790
6554.000000     3216.395440     2.796877     660.619760     4.085671     3877.015200
6592.000000     3289.666697     3.206769     555.717476     4.499130     3845.384172
Ex(e+de) = a0 + a1(e+de) + a2(e+de)^2
chi-squared: 0.062990. a0 = 11.257551MeV. a1 = -1.225041. a2 = 0.003044(MeV)^-1



